,date,meanCumstatpoints,cumStatpoints
date,2018-10-15,77.26872246696036,97.16102818259527
date,2018-10-16,73.3242105263158,97.34979812444708
date,2018-10-17,79.47963800904978,97.53058850553741
date,2018-10-18,75.81893004115226,97.71890965640183
date,2018-10-19,85.00602409638554,97.97639284695441
date,2018-10-20,75.66260162601625,98.16462073489902
date,2018-10-21,77.9874213836478,98.37207882102513
date,2018-10-22,77.02790697674419,98.5600753952395
date,2018-10-23,77.49668874172185,98.76314088873892
date,2018-10-24,75.48,98.89529071561961
date,2018-10-25,76.23037542662117,99.1045937157453
date,2018-10-26,80.47488584474885,99.28067091444659
date,2018-10-27,78.02100161550888,99.49382655705757
date,2018-10-28,76.53779069767442,99.67209917053673
date,2018-10-29,77.22321428571429,99.82557954285562
date,2018-10-30,78.12974683544304,100.024794230703
date,2018-10-31,53.35,100.18740046299762
