,Name,ARIMA,Name,DeepAR
347,Noah Juulsen,5.863636256234368,Christian Dvorak,69.81726121902466
348,Jordan Schmaltz,5.857137082325796,Kevin Fiala,69.72189766168593
349,Kurtis MacDermid,5.333330975665542,Michael Stone,69.2769913673401
350,Filip Chlapik,5.01689610413378,Patrick Eaves,69.13724970817566
351,Maxim Mamin,4.839999974534031,Clayton Keller,68.76885187625885
352,Luke Kunin,4.690658560373034,Travis Hamonic,68.27092587947845
353,Anton Lindholm,4.479371541893213,Kyle Connor,67.85287946462631
354,Laurent Dauphin,4.121211794823459,Jimmy Vesey,67.71058559417725
355,Ben Harpur,3.999983007420516,Calvin de Haan,67.63277983665465
356,Anton Blidh,2.1052628138334355,Markus Granlund,67.22588419914247
357,Jaycob Megna,0.9408097971985984,Kevin Labanc,67.01688742637634
358,,,Danny DeKeyser,66.81415557861328
359,,,Jared McCann,66.72918891906738
360,,,Pierre-Edouard Bellemare,66.15541183948517
361,,,Robby Fabbri,65.79756945371628
362,,,Devante Smith-Pelly,64.44711637496947
363,,,Pavel Buchnevich,63.322115898132324
364,,,Jake McCabe,63.30996036529541
365,,,Anthony Beauvillier,63.1206020116806
366,,,Sven Andrighetto,62.96406745910645
367,,,Ryan Murray,61.9151794910431
368,,,Johan Larsson,61.557536363601685
369,,,Brock Boeser,61.42531639337539
370,,,Michael Del Zotto,61.28172218799591
371,,,Marc Staal,61.25756788253784
372,,,Oliver Bjorkstrand,60.866990983486176
373,,,Matt Martin,60.64075899124146
374,,,Dale Weise,59.21827900409698
375,,,Alex DeBrincat,58.90167862176895
376,,,Brock McGinn,58.84225988388061
377,,,Nick Cousins,58.68336445093155
378,,,Jay Bouwmeester,57.921042919158936
379,,,Roman Polak,57.59134483337402
380,,,Joel Edmundson,57.20845031738281
381,,,Austin Watson,56.996922731399536
382,,,Colton Sissons,56.12299156188965
383,,,Nikita Zaitsev,55.334567964076996
384,,,Esa Lindell,55.19203758239746
385,,,Kevan Miller,55.12173938751221
386,,,Josh Morrissey,54.478733122348785
387,,,Nico Hischier,54.34046351909637
388,,,Brayden McNabb,54.2113984823227
389,,,Artturi Lehkonen,53.43040943145752
390,,,Mike Matheson,53.218171656131744
391,,,Ondrej Kase,53.11779636144638
392,,,Ryan Callahan,52.92364996671677
393,,,Pierre-Luc Dubois,52.61118495464325
394,,,Pavel Zacha,52.364981293678284
395,,,Ryan Reaves,52.172662019729614
396,,,Karl Alzner,51.58290183544159
397,,,Timo Meier,51.4691685140133
398,,,Scott Laughton,51.13015174865723
399,,,Brendan Perlini,51.05229091644287
400,,,Ben Chiarot,49.882283568382256
401,,,Brandon Pirri,49.779297471046455
402,,,Andrew MacDonald,49.748929023742676
403,,,Jonathan Ericsson,49.260857105255134
404,,,Miles Wood,49.017509162426
405,,,Alexander Petrovic,48.494628190994256
406,,,Derek Forbort,48.42582631111145
407,,,Dmitrij Jaskin,47.74906599521638
408,,,Danton Heinen,47.68762063980103
409,,,Shea Theodore,47.66358959674835
410,,,Tom Pyatt,47.25928807258606
411,,,Matt Read,46.70265579223635
