,gameNumber,predictions,low,high,name
46,47,13.0429707467556,11.112846940755844,15.090065062046051,Noel Acciari
47,48,13.08230921626091,11.119548708200455,15.056879580020905,Noel Acciari
48,49,13.128784596920013,11.261350125074387,15.087068945169449,Noel Acciari
49,50,13.186209708452225,11.2506442964077,15.11568033695221,Noel Acciari
50,51,13.223074048757553,11.39235332608223,15.479409664869308,Noel Acciari
51,52,13.264639049768448,11.424690693616867,15.414746940135956,Noel Acciari
52,53,13.303385317325592,11.330741226673126,15.505059123039246,Noel Acciari
53,54,13.358218967914581,11.378261506557465,15.49832409620285,Noel Acciari
54,55,13.405233889818192,11.512181371450424,15.732248485088348,Noel Acciari
55,56,13.435475915670395,11.663192868232727,15.579366147518158,Noel Acciari
56,57,13.452530592679977,11.417838335037231,15.607823252677917,Noel Acciari
57,58,13.534512221813202,11.781389355659485,15.626217544078827,Noel Acciari
58,59,13.561027348041534,11.839555412530899,15.59796553850174,Noel Acciari
59,60,13.59214797616005,11.859678268432617,15.668769240379333,Noel Acciari
60,61,13.6198188662529,11.995173335075378,15.603190958499908,Noel Acciari
61,62,13.666931718587875,12.082124471664429,15.406024664640427,Noel Acciari
62,63,13.715766668319702,12.00998392701149,15.466023683547974,Noel Acciari
63,64,13.74541187286377,11.953187972307205,15.656786620616913,Noel Acciari
64,65,13.791650742292404,11.98052442073822,15.83835518360138,Noel Acciari
65,66,13.807853609323502,12.035794138908386,15.889173686504364,Noel Acciari
66,67,13.858562171459198,12.019546002149582,15.800171554088593,Noel Acciari
67,68,13.885182619094849,12.03954228758812,15.951769709587097,Noel Acciari
68,69,13.913905799388885,12.259422898292542,15.9152250289917,Noel Acciari
69,70,13.963559299707413,12.316030383110046,16.108297646045685,Noel Acciari
70,71,13.947350889444351,12.296709448099136,16.14857292175293,Noel Acciari
71,72,13.994825899600983,12.372010558843613,16.101047098636627,Noel Acciari
72,73,14.034068286418915,12.2422536611557,16.146904408931732,Noel Acciari
73,74,14.06860077381134,12.268208920955658,16.232536256313324,Noel Acciari
74,75,14.09687864780426,12.410899102687836,16.198099851608276,Noel Acciari
75,76,14.14464282989502,12.55996584892273,16.38277631998062,Noel Acciari
76,77,14.18597224354744,12.52732452750206,16.449520528316498,Noel Acciari
77,78,14.185113042593002,12.49649491906166,16.56776136159897,Noel Acciari
78,79,14.251093208789825,12.595685511827469,16.552467584609985,Noel Acciari
79,80,14.250766158103943,12.564226746559143,16.577253222465515,Noel Acciari
80,81,14.229381293058395,12.777397274971008,16.57289808988571,Noel Acciari
81,82,14.209906995296478,12.699663609266281,16.490374147892,Noel Acciari
0,1,37.1663162112236,36.16786390542984,38.60627353191376,Stefan Noesen
1,2,37.24621653556824,35.549738109111786,38.89837950468063,Stefan Noesen
2,3,37.27903068065643,35.811046957969666,38.729046285152435,Stefan Noesen
3,4,37.21921741962433,35.27321845293045,38.97067308425903,Stefan Noesen
4,5,37.187122106552124,34.95491534471512,38.74693661928177,Stefan Noesen
5,6,37.124044597148895,34.92592066526413,38.99321436882019,Stefan Noesen
6,7,37.04104632139206,34.483954310417175,39.363774955272675,Stefan Noesen
7,8,37.066261768341064,34.4837611913681,39.38620090484619,Stefan Noesen
8,9,36.96843087673187,34.71235781908035,39.55494940280914,Stefan Noesen
9,10,36.98684960603714,34.68815088272095,39.556529223918915,Stefan Noesen
10,11,36.91364943981171,34.39669668674469,39.40704435110092,Stefan Noesen
11,12,36.78055554628372,33.9811635017395,39.58491235971451,Stefan Noesen
12,13,36.70986324548721,33.215049505233765,39.64986473321915,Stefan Noesen
13,14,36.707594096660614,33.370470106601715,39.433536529541016,Stefan Noesen
14,15,36.59446120262146,33.109906911849976,39.33123171329498,Stefan Noesen
15,16,36.58436268568039,32.925808131694794,39.35588926076889,Stefan Noesen
16,17,36.483570635318756,33.084184527397156,39.30432379245758,Stefan Noesen
17,18,36.466466188430786,33.1263729929924,39.69062089920044,Stefan Noesen
18,19,36.43055409193039,32.96458214521408,39.60280269384384,Stefan Noesen
19,20,36.428177654743195,32.83530503511429,39.441934525966644,Stefan Noesen
20,21,36.29309356212616,32.68543928861618,39.77400541305542,Stefan Noesen
21,22,36.268859803676605,32.67532467842102,39.4362536072731,Stefan Noesen
22,23,36.16833060979843,32.74270981550217,39.346506893634796,Stefan Noesen
23,24,36.07707381248474,32.60089874267578,39.170663952827454,Stefan Noesen
24,25,36.01462930440903,32.52247631549835,39.238134920597076,Stefan Noesen
25,26,35.79870879650116,32.35446810722351,39.15889710187912,Stefan Noesen
26,27,35.74328362941742,31.99777454137802,39.07770663499832,Stefan Noesen
27,28,35.665593445301056,32.0671284198761,38.769845366477966,Stefan Noesen
28,29,35.454863011837006,31.664123833179474,38.77233445644379,Stefan Noesen
29,30,35.10318249464035,31.164017915725708,38.65569323301315,Stefan Noesen
30,31,35.05748301744461,31.10617607831955,38.363986909389496,Stefan Noesen
31,32,34.93743270635605,30.957286655902863,38.63400489091873,Stefan Noesen
32,33,34.823302030563354,30.48331081867218,38.451131880283356,Stefan Noesen
33,34,34.7534117102623,30.56647002696991,38.529712557792664,Stefan Noesen
34,35,34.67069238424301,30.476889610290527,38.042872846126556,Stefan Noesen
35,36,34.5732718706131,30.31717211008072,38.070365488529205,Stefan Noesen
36,37,34.451346695423126,30.232577919960022,38.11353296041489,Stefan Noesen
37,38,34.35779124498367,30.31726598739624,37.950167655944824,Stefan Noesen
38,39,34.33297276496887,30.135122537612915,38.00586640834808,Stefan Noesen
39,40,34.19379562139511,29.932285845279694,38.1015408039093,Stefan Noesen
40,41,34.10536050796509,30.182994604110718,38.171594738960266,Stefan Noesen
41,42,33.99061560630798,30.284132659435272,37.96530604362488,Stefan Noesen
42,43,33.89277398586273,29.819922745227814,37.746502161026,Stefan Noesen
43,44,33.873451352119446,29.924864172935486,37.81261056661606,Stefan Noesen
44,45,33.862859308719635,29.898739457130432,37.771586179733276,Stefan Noesen
45,46,33.81830781698227,29.74037915468216,37.71774351596832,Stefan Noesen
46,47,33.80050331354141,29.69078779220581,37.90803551673889,Stefan Noesen
47,48,33.727515041828156,29.549590945243835,37.52914935350418,Stefan Noesen
48,49,33.69139105081558,29.4517520070076,37.51090228557587,Stefan Noesen
49,50,33.64062488079071,29.398024678230286,37.42087930440903,Stefan Noesen
50,51,33.57891529798508,29.414222538471222,37.48281419277191,Stefan Noesen
51,52,33.50623816251755,29.214448928833008,37.27151781320572,Stefan Noesen
52,53,33.38670551776886,29.445379078388214,37.10970550775528,Stefan Noesen
53,54,33.428684771060944,29.227374494075775,37.10561513900757,Stefan Noesen
54,55,33.359982669353485,29.41678136587143,37.15595483779907,Stefan Noesen
55,56,33.30675959587097,29.16628986597061,37.28350192308426,Stefan Noesen
56,57,33.248974084854126,29.307081699371338,37.14149236679077,Stefan Noesen
57,58,33.24504464864731,29.496587812900543,36.93244904279709,Stefan Noesen
58,59,33.24367672204971,29.57404464483261,36.662637591362,Stefan Noesen
59,60,33.207061886787415,29.56336408853531,37.08065986633301,Stefan Noesen
60,61,33.224013447761536,29.65522974729538,36.93561673164368,Stefan Noesen
61,62,33.19780021905899,29.78371560573578,36.85447722673416,Stefan Noesen
62,63,33.17689776420593,29.78628784418106,36.94283992052078,Stefan Noesen
63,64,33.1598174571991,29.50988620519638,36.754532754421234,Stefan Noesen
64,65,33.16857486963272,29.69308912754059,36.68160617351532,Stefan Noesen
65,66,33.15429747104645,29.80678528547287,36.672481298446655,Stefan Noesen
66,67,33.124626874923706,29.63723748922348,36.51584833860397,Stefan Noesen
67,68,33.11969965696335,29.64510440826416,36.67371779680252,Stefan Noesen
68,69,33.14521551132202,29.850344359874725,36.641753911972046,Stefan Noesen
69,70,33.13709110021591,29.84097808599472,36.61879688501358,Stefan Noesen
70,71,33.09795767068863,29.67940717935562,36.6233029961586,Stefan Noesen
71,72,33.149262964725494,29.944500625133514,36.66649729013443,Stefan Noesen
72,73,33.12593311071396,30.344160497188568,36.66983664035797,Stefan Noesen
73,74,33.11882793903351,30.39806753396988,36.58651649951935,Stefan Noesen
74,75,33.096836507320404,29.944302141666412,36.44708722829819,Stefan Noesen
75,76,33.12648564577103,29.879993498325348,36.53449505567551,Stefan Noesen
76,77,33.12073767185211,30.154399573802948,36.41609162092209,Stefan Noesen
77,78,33.0925127863884,29.840508699417114,36.31951063871384,Stefan Noesen
78,79,33.136018216609955,29.968793392181396,36.40112489461899,Stefan Noesen
79,80,33.1008705496788,29.937929213047028,36.4215150475502,Stefan Noesen
80,81,33.11090737581253,30.06596177816391,36.32312893867493,Stefan Noesen
81,82,33.09706449508667,30.24545520544052,36.304045021533966,Stefan Noesen
0,1,39.138134121894836,38.41461092233658,39.70108151435852,Brett Ritchie
1,2,39.19314622879028,38.392871618270874,39.90660846233368,Brett Ritchie
2,3,39.29097443819046,38.221963942050934,40.29907464981079,Brett Ritchie
3,4,39.26245987415314,38.12050670385361,40.332089960575104,Brett Ritchie
4,5,39.178327023983,37.84251183271408,40.272603929042816,Brett Ritchie
5,6,39.16782885789871,37.888444662094116,40.27794152498245,Brett Ritchie
6,7,39.2263063788414,38.03166925907135,40.61801880598068,Brett Ritchie
7,8,39.23694670200348,37.83784478902817,40.54939717054367,Brett Ritchie
8,9,39.168872237205505,37.75911659002304,40.52038908004761,Brett Ritchie
9,10,39.15679156780243,37.75766283273697,40.377006232738495,Brett Ritchie
10,11,39.15733337402344,37.82545566558838,40.5777508020401,Brett Ritchie
11,12,39.09287452697754,37.607174813747406,40.454524755477905,Brett Ritchie
12,13,38.98353964090347,37.45948165655136,40.49131393432617,Brett Ritchie
13,14,38.952868580818176,37.37475872039795,40.55295646190643,Brett Ritchie
14,15,38.98044973611832,37.39757627248764,40.831809639930725,Brett Ritchie
15,16,38.90406310558319,36.86569154262543,40.91025084257126,Brett Ritchie
16,17,38.887833058834076,36.75797939300537,40.79966604709625,Brett Ritchie
17,18,38.83396089076996,36.51779294013977,41.38743996620178,Brett Ritchie
18,19,38.75044763088226,36.182329058647156,40.84786266088486,Brett Ritchie
19,20,38.669471740722656,36.04415237903595,40.79481929540634,Brett Ritchie
20,21,38.63940417766571,35.87491571903229,41.026460230350494,Brett Ritchie
21,22,38.56199026107788,35.873268842697144,40.844330191612244,Brett Ritchie
22,23,38.52108657360077,35.86751013994217,40.65833508968353,Brett Ritchie
23,24,38.47379386425018,35.77355235815048,40.51558256149292,Brett Ritchie
24,25,38.362911343574524,35.7354274392128,40.53654670715332,Brett Ritchie
25,26,38.27517628669739,35.59471070766449,40.59420347213745,Brett Ritchie
26,27,38.26231241226196,35.71249723434448,40.600225031375885,Brett Ritchie
27,28,38.229892551898956,35.5888232588768,40.67594647407532,Brett Ritchie
28,29,38.145011365413666,35.13447850942612,40.43781727552414,Brett Ritchie
29,30,38.11174392700195,35.067600309848785,41.0012286901474,Brett Ritchie
30,31,38.011804819107056,35.108179450035095,40.56191235780716,Brett Ritchie
31,32,37.96857833862305,34.79216426610947,40.70123165845871,Brett Ritchie
32,33,37.91776388883591,34.70302104949951,40.613107681274414,Brett Ritchie
33,34,38.45026820898056,34.31836277246475,40.93144565820694,Brett Ritchie
34,35,38.28409194946289,33.91739934682846,40.699574053287506,Brett Ritchie
35,36,38.22998374700546,33.98968756198883,40.76661854982376,Brett Ritchie
36,37,38.164368867874146,33.689803183078766,40.85545867681503,Brett Ritchie
37,38,38.188315629959106,34.05656576156616,40.81565469503403,Brett Ritchie
38,39,38.159248530864716,33.82008343935013,41.09112560749054,Brett Ritchie
39,40,38.14333766698837,33.78296971321106,40.97382187843323,Brett Ritchie
40,41,38.10411840677261,33.787435591220856,41.180142760276794,Brett Ritchie
41,42,38.023021817207336,33.89310657978058,41.42327964305878,Brett Ritchie
42,43,38.004200756549835,33.78402382135391,41.75154447555542,Brett Ritchie
43,44,37.936638593673706,33.667221665382385,41.44968330860138,Brett Ritchie
44,45,37.945404052734375,33.686557710170746,41.26797437667847,Brett Ritchie
45,46,37.87679314613342,33.39423447847366,41.359405517578125,Brett Ritchie
46,47,37.83253401517868,33.5865193605423,41.2395966053009,Brett Ritchie
47,48,37.86706209182739,33.68330955505371,41.28956615924835,Brett Ritchie
48,49,37.84859776496887,33.127767741680145,41.46906495094299,Brett Ritchie
49,50,37.833403050899506,33.17176669836044,40.9580934047699,Brett Ritchie
50,51,37.83260643482208,33.2130029797554,41.51803135871887,Brett Ritchie
51,52,37.84356325864792,33.250519037246704,41.57600998878479,Brett Ritchie
52,53,37.842299938201904,33.31538289785385,41.406389772892,Brett Ritchie
53,54,37.82717764377594,33.17327678203583,41.2628111243248,Brett Ritchie
54,55,36.53925061225891,33.07211458683014,41.3313764333725,Brett Ritchie
55,56,37.18603849411011,33.122379183769226,41.64837867021561,Brett Ritchie
56,57,37.211036682128906,33.22981774806976,41.594109535217285,Brett Ritchie
57,58,37.31110453605652,33.400703966617584,41.313475370407104,Brett Ritchie
58,59,37.37872302532196,33.79577726125717,41.25621825456619,Brett Ritchie
59,60,37.53368228673935,33.906573951244354,41.74460291862488,Brett Ritchie
60,61,37.55715698003769,33.97552818059921,41.855879724025726,Brett Ritchie
61,62,37.57250189781189,33.97545576095581,42.05513298511505,Brett Ritchie
62,63,37.5926399230957,34.05407398939133,41.71502083539963,Brett Ritchie
63,64,37.61487007141113,34.08032476902008,41.8210431933403,Brett Ritchie
64,65,37.61741816997528,34.226427376270294,42.336700558662415,Brett Ritchie
65,66,37.58081138134003,33.69576305150986,42.18720763921738,Brett Ritchie
66,67,37.59925693273544,33.93317073583603,42.26592779159546,Brett Ritchie
67,68,37.58978068828583,34.14642512798309,42.20123291015625,Brett Ritchie
68,69,37.56693631410599,33.66153001785278,42.078165113925934,Brett Ritchie
69,70,37.61640429496765,33.55724573135376,42.089360654354095,Brett Ritchie
70,71,37.670131623744965,33.848469257354736,42.07689642906189,Brett Ritchie
71,72,37.68777787685394,33.96028518676758,42.04930454492569,Brett Ritchie
72,73,37.72697299718857,34.33846324682236,41.97522461414337,Brett Ritchie
73,74,37.76708543300629,34.33743596076965,42.00893998146057,Brett Ritchie
74,75,37.8397598862648,34.39288526773453,42.09010899066925,Brett Ritchie
75,76,37.90969043970108,34.576125741004944,42.444562911987305,Brett Ritchie
76,77,37.904945611953735,34.52051281929016,42.430703938007355,Brett Ritchie
77,78,37.98407882452011,34.5191153883934,42.89310872554779,Brett Ritchie
78,79,38.01801413297653,34.49915170669556,42.8816020488739,Brett Ritchie
79,80,37.94508755207062,34.530509412288666,42.78696298599243,Brett Ritchie
80,81,37.964761555194855,34.072119891643524,43.00418704748154,Brett Ritchie
81,82,38.01524609327316,34.30062264204025,42.97241896390915,Brett Ritchie
0,1,46.08720886707306,45.125999450683594,46.98315018415451,Josh Morrissey
1,2,46.29481291770935,45.2050821185112,47.27561515569687,Josh Morrissey
2,3,46.46826148033142,45.213109254837036,47.67283219099045,Josh Morrissey
3,4,46.47003763914108,45.09894859790802,48.05028659105301,Josh Morrissey
4,5,46.54689437150955,45.21558302640915,48.106669306755066,Josh Morrissey
5,6,46.671041905879974,45.111900329589844,48.418589413166046,Josh Morrissey
6,7,46.79737865924835,44.97497546672821,48.56030577421188,Josh Morrissey
7,8,46.91784077882767,44.1661439538002,49.33310467004776,Josh Morrissey
8,9,47.13983768224716,44.65991151332855,49.19185185432434,Josh Morrissey
9,10,47.195229053497314,44.795115292072296,49.45437455177307,Josh Morrissey
10,11,47.400134444236755,44.87067776918411,50.198539197444916,Josh Morrissey
11,12,47.56865382194519,44.903612434864044,50.27668100595474,Josh Morrissey
12,13,47.61961627006531,44.61396086215973,50.37285977602005,Josh Morrissey
13,14,47.74197846651077,45.102220952510834,50.57216590642929,Josh Morrissey
14,15,48.04767972230911,45.06028616428375,51.114904046058655,Josh Morrissey
15,16,48.19017630815506,45.444078743457794,51.02455860376358,Josh Morrissey
16,17,48.39222699403763,45.45192688703537,51.664531111717224,Josh Morrissey
17,18,48.51631027460098,45.832295656204224,51.72430092096329,Josh Morrissey
18,19,48.60743135213852,45.70248460769653,51.72641211748123,Josh Morrissey
19,20,48.782050251960754,45.728516578674316,52.03942912817001,Josh Morrissey
20,21,48.69548201560974,45.07879585027695,52.32055789232254,Josh Morrissey
21,22,48.79641556739807,44.9071968793869,52.259190917015076,Josh Morrissey
22,23,48.90079128742218,45.28263187408447,52.6974156498909,Josh Morrissey
23,24,49.063991367816925,45.45735174417496,52.71167081594467,Josh Morrissey
24,25,49.13928306102753,45.7934450507164,52.80970376729965,Josh Morrissey
25,26,49.293556451797485,46.097897946834564,53.184514582157135,Josh Morrissey
26,27,49.42208242416382,45.81727862358093,53.40976548194885,Josh Morrissey
27,28,49.50157356262207,45.785417914390564,53.545813739299774,Josh Morrissey
28,29,49.558603405952454,45.90303909778595,54.45655179023742,Josh Morrissey
29,30,49.651753067970276,46.04498493671417,53.979848206043236,Josh Morrissey
30,31,49.71295481920242,46.06014883518219,54.36275041103362,Josh Morrissey
